Product_ID,Sale_Date,Sales_Rep,Region,Amount,Sold,Product_Category,Unit_Cost,Price,Type,Discount,Payment_Method,Sales_Channel
1051,2023-01-01,Bob,North,1505.22,92,Electronics,3348.83,3523.9,New,0.06,UPI,Retail
1092,2023-01-02,Dani d,East,8674.55,21,Furniture,3427.43,2451.26,Returning,0.16,Credit Card,Online
1014,2023-01-03,Rami d,South,3029.87,71,Food,4665.53,2492.04,Returning,0.16,UPI,Retail
1071,2023-01-04,Rami d,West,4392.23,67,Food,4985.05,1810.48,Returning,0.25,Bank Transfer,Retail
1060,2023-01-05,Bob,East,5155.6,47,Food,3628.77,4227.39,Returning,0.22,Cash,Retail
1020,2023-01-06,Charlie,North,5328.15,84,Clothing,1507.38,5158.54,New,0.2,Credit Card,Retail
1082,2023-01-07,Dani d,West,4916.62,83,Clothing,4410.79,5183.02,Returning,0.04,UPI,Online
1086,2023-01-08,Dani d,South,9436.18,35,Electronics,341.18,1085.08,Returning,0.22,Bank Transfer,Retail
1074,2023-01-09,Dani d,East,7354.17,68,Furniture,1232.3,4829.88,Returning,0.16,Bank Transfer,Online
1074,2023-01-10,Dani d,South,6680.54,69,Clothing,4497.19,4095.26,New,0.27,Credit Card,Online
1087,2023-01-11,Rami d,North,1448.58,1,Food,1355.34,1502.68,Returning,0.28,Cash,Online
1099,2023-01-12,Rami d,East,9135.22,68,Clothing,1181.19,509.97,New,0.03,Credit Card,Online
1023,2023-01-13,Charlie,North,9184.51,12,Furniture,776.81,1583.79,Returning,0.25,UPI,Retail
1002,2023-01-14,Dani d,North,8021.92,60,Clothing,4309.65,5030.31,New,0.02,Bank Transfer,Online
1021,2023-01-15,Dani d,West,1063.26,27,Food,2550.29,3537.51,Returning,0.12,Cash,Retail
1052,2023-01-16,Bob,South,1515.52,56,Electronics,3406.98,4007.64,New,0.17,UPI,Retail
1001,2023-01-17,Rami d,East,3027.01,23,Food,1271.43,1525.77,Returning,0.05,Credit Card,Retail
1087,2023-01-18,Dani d,North,2182.14,25,Furniture,3814.4,3998.73,New,0.23,Bank Transfer,Retail
1029,2023-01-19,Charlie,North,4589.52,21,Electronics,3824.03,300.45,New,0.01,Credit Card,Online
1037,2023-01-20,Charlie,East,9303.61,61,Clothing,1631.73,2157.97,Returning,0.06,Cash,Retail
1001,2023-01-21,Rami d,North,5248.54,63,Clothing,2112.34,3503.13,New,0.18,Cash,Online
1063,2023-01-22,Charlie,West,1120.62,52,Clothing,1127.48,931.62,New,0.22,Cash,Retail
1059,2023-01-23,Charlie,West,3544.71,88,Electronics,4885.15,4553.07,Returning,0.28,Cash,Retail
1020,2023-01-24,Rami d,West,1401.35,25,Food,3263.45,1407.42,Returning,0.21,Cash,Online
1032,2023-01-25,Dani d,West,1326.59,55,Electronics,4679.27,3639.7,New,0.2,Credit Card,Retail
1075,2023-01-26,Dani d,North,3481.48,46,Electronics,1586.59,2317.8,Returning,0.12,Cash,Retail
1057,2023-01-27,Charlie,East,3480.51,32,Furniture,3931.27,3338.83,Returning,0.01,Cash,Retail
1021,2023-01-28,Charlie,East,8084.14,55,Electronics,3852.71,724.86,Returning,0.04,Bank Transfer,Retail
1088,2023-01-29,Dani d,East,9773.51,96,Clothing,3489.11,240.48,New,0.17,Cash,Retail
